Country or Area,Year,Area,Sex,City,State,City type,Record Type,Reliability,Source Year,Value,Value Footnotes
United States of America,2012,Total,Both Sexes,Midland City ,Texas,City proper,Estimate - de jure,"Final figure, complete",2014,119385,"1,2"
United States of America,2012,Total,Both Sexes,Milwaukee ,Wisconsin,City proper,Estimate - de jure,"Final figure, complete",2014,598916,"1,2"
United States of America,2012,Total,Both Sexes,Minneapolis ,Minnesota,City proper,Estimate - de jure,"Final figure, complete",2014,392880,"1,2"
United States of America,2012,Total,Both Sexes,Miramar ,Florida,City proper,Estimate - de jure,"Final figure, complete",2014,128729,"1,2"
United States of America,2012,Total,Both Sexes,Mobile ,Alabama,City proper,Estimate - de jure,"Final figure, complete",2014,194822,"1,2"
United States of America,2012,Total,Both Sexes,Modesto ,California,City proper,Estimate - de jure,"Final figure, complete",2014,203547,"1,2"
United States of America,2012,Total,Both Sexes,Montgomery ,Alabama,City proper,Estimate - de jure,"Final figure, complete",2014,205293,"1,2"
United States of America,2012,Total,Both Sexes,Moreno Valley ,California,City proper,Estimate - de jure,"Final figure, complete",2014,199552,"1,2"
United States of America,2012,Total,Both Sexes,Murrieta ,California,City proper,Estimate - de jure,"Final figure, complete",2014,106810,"1,2"
United States of America,2012,Total,Both Sexes,Murfreesboro ,Tennessee,City proper,Estimate - de jure,"Final figure, complete",2014,114038,"1,2"
United States of America,2012,Total,Both Sexes,Naperville ,Illinois,City proper,Estimate - de jure,"Final figure, complete",2014,143684,"1,2"
United States of America,2012,Total,Both Sexes,Nashville-Davidson ,Tennessee,City proper,Estimate - de jure,"Final figure, complete",2014,624496,"1,2"
United States of America,2012,Total,Both Sexes,New Haven ,Connecticut,City proper,Estimate - de jure,"Final figure, complete",2014,130741,"1,2"
United States of America,2012,Total,Both Sexes,New Orleans ,Louisiana,City proper,Estimate - de jure,"Final figure, complete",2014,369250,"1,2"
United States of America,2012,Total,Both Sexes,New York ,New York,City proper,Estimate - de jure,"Final figure, complete",2014,8336697,"1,2"
United States of America,2012,Total,Both Sexes,Newark ,New Jersey,City proper,Estimate - de jure,"Final figure, complete",2014,277727,"1,2"
United States of America,2012,Total,Both Sexes,Newport News ,Virginia,City proper,Estimate - de jure,"Final figure, complete",2014,180726,"1,2"
United States of America,2012,Total,Both Sexes,Norfolk ,Virginia,City proper,Estimate - de jure,"Final figure, complete",2014,245782,"1,2"
United States of America,2012,Total,Both Sexes,Norman ,Oklahoma,City proper,Estimate - de jure,"Final figure, complete",2014,115562,"1,2"
United States of America,2012,Total,Both Sexes,North Charleston ,South Carolina,City proper,Estimate - de jure,"Final figure, complete",2014,101989,"1,2"
United States of America,2012,Total,Both Sexes,North Las Vegas ,Nevada,City proper,Estimate - de jure,"Final figure, complete",2014,223491,"1,2"
